"stationID","geom","obsTimeLocal","precipTotal_mm"
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:39:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:44:54.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:49:58.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:54:52.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:59:56.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:04:44.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:09:48.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:14:52.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:19:56.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:24:44.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:29:48.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:49:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:54:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 22:59:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:19:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:24:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:29:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:49:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:54:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 23:59:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:19:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:24:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:29:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:39:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:44:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:49:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:54:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 00:59:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:04:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:09:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:14:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:19:55.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:24:59.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:29:47.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:34:51.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-02 01:39:55.000,0.0
